song_name,genre,length,tempo,sample_rate,zero_crossing_rate_mean,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var
Bastille - Pompeii (Official Music Video).wav,Alternative,10858496,127.8409091,48000,0.05128638441,0.48726824,0.08527438,0.085285194,0.002240762,2871.076438,1441703.39,3596.365282,659506.9206,5941.89856,-210.19334,8708.631,142.89267,709.4278,-18.901793,855.44324,26.838339,466.4248,-5.793719,319.60483,24.834354,217.8955,-10.695246,161.56406,12.281477,140.03278,-0.030492887,105.68732,2.9875038,154.61316,-5.858119,76.428375,3.4042702,93.981544,3.539105,90.29827,1.2999804,93.52606,3.5825424,62.81284
The All-American Rejects - It Ends Tonight (Official Music Video).wav,Alternative,11624960,87.890625,48000,0.06764642631,0.41876787,0.08087831,0.23723151,0.007411061,3048.635671,1128025.078,3394.30827,463038.2082,6329.95099,-80.27151,6290.686,150.48776,639.3239,-42.182587,457.2868,44.865757,455.8327,-16.261953,278.7948,29.204294,209.01057,-15.848548,98.537994,11.663111,121.73979,-2.1605973,67.58055,4.9730096,105.752914,-0.050242692,70.925064,0.8735093,62.516384,1.5545845,84.04129,-4.08445,85.042046,4.2967114,80.412224
Green Day - Basket Case [Official Music Video] (4K Upgrade).wav,Alternative,9214464,175.78125,48000,0.07149585695,0.5208348,0.07570795,0.17684649,0.0051831785,3043.05478,1106474.715,3360.941989,518915.5046,5822.452929,-104.796616,8471.076,143.55862,817.74396,-45.226692,940.24805,35.739998,367.78113,0.32073963,298.70084,18.701614,187.53754,-3.207862,81.86207,11.25488,96.77715,-8.698,59.861122,4.5008307,73.785286,-4.245478,52.792515,4.360476,71.16047,-4.113362,48.31391,4.7108736,58.2907,-0.81419986,44.7863
Foster The People - Pumped Up Kicks (Official Video).wav,Alternative,12266496,127.8409091,48000,0.03803115413,0.4860522,0.08084617,0.06598308,0.000903917,2078.524699,768603.192,2903.595503,979358.1385,4287.354504,-257.95178,8568.137,168.3475,996.3646,-16.814638,737.93536,22.542238,663.71423,-5.3334007,606.693,20.353947,254.18532,-1.8671585,236.989,9.399262,157.42004,-3.3507419,145.80516,3.7737565,115.37563,0.91752154,94.8506,1.7426047,62.195637,1.4132894,72.58222,-0.2582011,65.59511,-1.1906507,51.773197
Radiohead - Creep.wav,Alternative,11278336,187.5,48000,0.05974391967,0.5448514,0.076421954,0.13370803,0.0050172484,3081.46437,2418443.149,3614.179944,1406555.699,6683.951765,-181.33061,12551.527,130.11894,1202.1095,-21.26936,2018.7571,50.115223,317.65527,5.805257,322.3949,38.52848,161.32712,0.12790367,272.9153,7.2947664,135.64023,2.6903996,129.71593,5.710392,117.84692,-0.8641493,80.110466,1.557497,96.74118,-2.349292,60.32361,3.8867977,67.92595,2.43999,63.86898
Oasis - Wonderwall (Official Video).wav,Alternative,13329920,117.1875,48000,0.05604039634,0.50618446,0.07409344,0.11735966,0.0036883815,2749.913585,1601211.548,3132.469982,1139911.217,5667.110263,-190.19347,15270.713,155.11465,1894.7878,-43.75431,739.77936,40.428284,320.52557,-2.2372284,310.948,20.882067,177.2417,-5.501451,149.41443,2.292502,88.9031,4.166528,74.024315,6.0643435,69.42554,2.4886518,64.51787,2.9401975,42.70219,-0.42078134,44.251583,1.9285233,43.760822,0.65206003,56.52494
Foo Fighters - Everlong (Official HD Video).wav,Alternative,13938688,156.25,48000,0.05201407765,0.5782255,0.063283674,0.25524956,0.008291189,2832.457061,899962.3353,3532.284769,847172.213,5778.726756,-78.224625,9584.755,150.46445,743.091,-33.39542,1041.185,32.030834,387.0963,4.58202,262.88016,23.668661,104.75744,-10.487145,73.68249,11.4925375,60.445404,-0.9240102,60.293762,9.31585,48.98645,0.5776246,45.649242,9.508339,57.449665,-0.7883946,44.92404,7.5101233,46.57821,-3.8860543,39.939545
Imagine Dragons - Radioactive.wav,Alternative,11764224,137.195122,48000,0.04331760429,0.49779254,0.08748246,0.08807381,0.0017745824,2309.367551,995901.7456,3058.646532,650661.6303,4622.557786,-218.93391,6831.5376,160.34467,800.9693,-22.775908,769.617,28.547388,384.99527,-2.6200833,267.97336,12.998485,165.3207,-2.8146372,110.275925,4.506445,141.81087,1.8169314,93.67433,6.603621,78.593735,-1.1011871,77.81955,4.513166,101.23764,0.87442863,71.46372,4.2622848,85.20738,0.8786914,70.208145
Red Hot Chili Peppers - Under The Bridge [Video].wav,Alternative,12807168,170.4545455,48000,0.05736756167,0.46409845,0.08465799,0.07328121,0.0012907266,2650.300472,2382342.433,2943.8295,1231872.078,5317.365831,-254.50806,11264.757,140.52664,1751.696,-31.979677,1282.089,40.6379,659.735,23.310394,821.7596,27.46577,213.17162,-7.8353224,151.57973,1.9543288,183.94348,2.2119792,172.35608,1.3114288,148.27397,-7.195544,125.02076,-2.60733,144.68423,-2.7119813,81.89843,1.7358341,86.886086,-3.3481061,72.7383
Imagine Dragons - Demons (Official Music Video).wav,Alternative,11329024,90.72580645,48000,0.05068115312,0.4087411,0.08706164,0.093560174,0.0029356806,2403.597739,802912.8889,2986.783671,454584.6332,4545.859248,-208.38843,10201.912,157.03545,1082.0629,-31.286606,765.21716,18.661036,511.84897,-13.963943,311.81567,9.036023,282.94254,-10.8190565,119.58736,0.17500849,171.36143,-2.5712268,108.96229,2.3883126,134.13727,-5.9942493,78.57185,-4.3941894,127.05848,-0.98520154,62.163143,1.1765269,91.40204,-0.8468381,68.97445
